PlayerID_x,Name,Team,Position,Games,Income,Points,Rebounds,Assists,BlockedShots,Steals
20000799,Shabazz Muhammad,MIN,SG,78,3046299,772,221,35,6,22
20000779,Justin Hamilton,BKN,C,64,3000000,442,261,55,43,30
20000497,Giannis Antetokounmpo,MIL,PF,80,2995421,1832,697,435,151,132
20000865,Nik Stauskas,PHI,SG,80,2993040,756,225,188,31,46
20000476,Dante Cunningham,NO,SF,66,2978250,435,279,36,28,38
20001427,Stanley Johnson,DET,SF,77,2969880,339,189,104,24,56
20001674,Marquese Chriss,PHO,PF,82,2941440,753,348,59,70,67
20000933,Seth Curry,DAL,SG,70,2898000,898,177,188,6,79
20001751,Mindaugas Kuzminskas,NY,PF,68,2898000,425,126,69,11,30
20000890,Dion Waiters,MIA,SG,46,2898000,729,153,200,20,41
20000439,Nene Hilario,HOU,C,67,2898000,609,279,65,40,55
20000684,Dewayne Dedmon,SA,C,76,2898000,387,494,45,64,39
20000762,Noah Vonleh,POR,PF,74,2751360,327,388,31,27,31
20001396,Frank Kaminsky,CHA,PF,75,2730000,874,339,162,36,50
20000606,Dennis Schroder,ATL,PG,79,2708582,1414,249,500,16,74
20000518,Aaron Brooks,IND,PG,65,2700000,322,69,125,9,25
