Rank,PlayerID,Name,Team,Position,Games,Points,Rebounds,Assists,BlockedShots,Steals,FieldGoalsPercentage,FreeThrowsPercentage,ThreePointersPercentage,FreeThrowsMade,TwoPointersMade,ThreePointersMade,Turnovers,Minutes,DoubleDoubles,TripleDoubles,FantasyPoints
101,20000838,Trevor Booker,BKN,PF,71,709,572,138,28,75,51.6,67.3,32.1,74,280,25,125,1754,16,0,1683.4
102,20000554,Patrick Beverley,HOU,PG,67,639,396,281,25,98,42,76.8,38.3,73,118,110,100,2057,7,0,1681.7
103,20000511,Jabari Parker,MIL,PF,51,1025,314,142,22,51,49,74.3,36.5,162,334,65,93,1727,2,0,1667.8
104,20000517,Taj Gibson,OKC,PF,78,846,488,73,65,43,51.6,71.5,23.1,113,362,3,107,1988,11,0,1650.1
105,20000858,T.J. Warren,PHO,SF,66,951,340,75,39,76,49.6,77.3,26.5,119,377,26,58,2048,5,0,1643.5
106,20001396,Frank Kaminsky,CHA,PF,75,874,339,162,36,50,39.9,75.6,32.8,118,204,116,76,1954,4,0,1619.8
107,20000863,Darren Collison,SAC,PG,68,900,154,311,9,68,47.7,86,42,147,267,73,113,2063,4,0,1592.3
108,20001408,Rondae Hollis-Jefferson,BKN,SF,78,675,453,154,44,82,43.4,75.1,22.4,190,220,15,115,1761,8,0,1586.6
109,20000665,J.J. Redick,LAC,SF,78,1173,172,110,13,56,44.4,89.1,42.9,180,195,201,98,2198,0,0,1584.4
110,20001701,Malcolm Brogdon,MIL,PG,75,767,211,318,12,85,45.7,86.5,40.6,109,212,78,113,1982,2,1,1578.2
111,20000591,Bojan Bogdanovic,WAS,SF,81,1113,279,111,7,34,44.5,89.3,36.7,217,232,144,131,2082,0,0,1565.3
112,20000634,Courtney Lee,NY,SG,77,835,258,179,22,81,45.6,86.7,40.3,85,213,108,69,2459,0,0,1550.1
113,20000559,Avery Bradley,BOS,SG,55,894,334,121,11,68,46.3,73.1,39,68,251,108,88,1834,10,0,1546.3
